ssn_org,ssn_org_cln
0072993-41,007299341
0076028.26,007602826
002-93-8217,002938217
0h0501542y.8,INVALID
yp006.742545,INVALID
002-74-6521,002746521
002-60-2748,002602748
76-3591,INVALID
E0.x01079702,INVALID
004459531,004459531
003236.056ac,INVALID
0.07789403,INVALID
0.0496006,INVALID
003-35-0579,003350579
0252-91,INVALID
00498-2483,004982483
0085166-44,008516644
00368648.6,INVALID
00385463.9,003854639
0061-64,INVALID
006-06-4420,006064420
00728-1865,007281865
003147628,003147628
004508-790,004508790
00d3r0-63954,INVALID
009-81-4641,009814641
0040997-24,004099724
00572352.7,INVALID
0054-59008,005459008
00842525.5,INVALID
008239756,008239756
004343061,004343061
006-14-5184,006145184
0.08592830,INVALID
0.04370375,INVALID
005-49-0194,005490194
009-Z4193l79,INVALID
008758918,008758918
00753851-3,007538513
003549452,003549452
003465838,003465838
00339.7372,003397372
00-6510939,006510939
001-10-1576,001101576
005957.463,005957463
0.08921824,INVALID
0.04056341,INVALID
007925975,007925975
002983.493,002983493
006042.988,006042988
006064420,006064420
004030752,004030752
006.266730,006266730
006584-147,006584147
00214858.7,INVALID
00755-155,00755155
005050.014,005050014
001726676,001726676
00591-0463,005910463
006-02-0660,006020660
005-04-8102,005048102
008738803,008738803
0072.498,INVALID
0076N1-791M1X,INVALID
004-06-4735,004064735
003363288,003363288
005-23-1330,005231330
003292852,003292852
0098-00940,009800940
009-40-3742,009403742
00qP32.75953G,INVALID
009021684,009021684
004.604753,004604753
008013405,008013405
001-64-4593,001644593
007.485604,007485604
002-192670F,INVALID
N0-0J9726541I,INVALID
001-j3N87210,INVALID
007-677322,007677322
005-264,INVALID
0-08549214,008549214
0-140907,0140907
004075656,004075656
00510-1,INVALID
00.1761286,001761286
002.0984,INVALID
0-p09s2g24285,INVALID
008-82-9105,008829105
0068274-29,006827429
002-63-1588,002631588
002-65-3028,002653028
00.7240317,007240317
007-62-4909,007624909
00525-1642,005251642
005434533,005434533
004-21-9828,004219828
00J77373O-96,INVALID
0026816-71,002681671
004-70-7655,004707655
00377809-9Z,INVALID
004313663,004313663
0087661.26,008766126
009921943,009921943
007058233,007058233
0-043p89341,004389341
007-85-9432,007859432
00.6742545,INVALID
006413-037,006413037
04.79545,INVALID
008647218,008647218
007477495,007477495
00.4349467,004349467
01928.45,INVALID
003226-3,0032263
008178814,008178814
005-53-0917,005530917
0271-70,INVALID
008406954,008406954
00376.5361,003765361
009-16-8224,009168224
008-20-0640,008200640
0072361.21,007236121
00-116341,00116341
001.688305,001688305
007.068798,007068798
009212610,009212610
006-48-0406,006480406
00657503-6,006575036
0022.30507ud,INVALID
0062.65906,006265906
006-15-4302,006154302
008052936,008052936
008841195,008841195
00383.3270,003833270
008378775,008378775
002-70-1012,002701012
004723-95,00472395
004922-5,INVALID
00855-6638,008556638
004-07-5737,004075737
0t07535316.X,027535316
006258.907,006258907
006-890560,006890560
003161297,003161297
00495684.4,INVALID
005.185,INVALID
007244498,007244498
007721563,007721563
003-341559,003341559
0-0219024,00219024
005-46-0976,005460976
005-29-2855,005292855
002-79-0836,002790836
0-03317758,03317758
00958.3949,009583949
00-3746,INVALID
003795965,003795965
009157503,009157503
006999424,006999424
068-146,INVALID
0095.3959,00953959
002910770,002910770
00466.89,INVALID
0-09772611,009772611
004-22-8403,004228403
007752704,007752704
00.1109B8L19,INVALID
001-58-4458,001584458
04865.9,INVALID
014.340,INVALID
005872474,005872474
005-45-1384,005451384
003.257232,003257232
00-1218002,001218002
0070-03514,007003514
0x.0781tk2207,INVALID
002-29-5432,002295432
0-U08979U244,INVALID
009.250242,009250242
008610313,008610313
006-93-5479,006935479
0088.2072Z9,INVALID
1338.87,INVALID
001977740,001977740
004542456,004542456
004812344,004812344
3-62480,INVALID
00287-9086,002879086
O00-26c78134,0002678134
004343k0-61,004343061
002-16-1186,002161186
003305658,003305658
h005.0T44429,INVALID
0.93392,INVALID
0-02217561,002217561
00966395-6,009663956
006-39-8687,006398687
001258A7.L1R6,INVALID
00x44-3Ce0199,INVALID
1.953511,INVALID
005927024,005927024
00824-707,00824707
00499.7474,INVALID
008152232,008152232
004877811,004877811
009-95-1759,009951759
0079185.01,INVALID
00456-4653,004564653
00.56535,INVALID
0082440-83,008244083
006791.880,006791880
003025748,003025748
0082624-72,008262472
008117515,008117515
0b033-89702,0B03389702
004-70-7408,004707408
0097908.35,009790835
0o0982.108u4,INVALID
009-64-7713,009647713
005-38-3571,005383571
007150j70-7,INVALID
006-41-1610,006411610
0061.3y4hl615,INVALID
0.0z5142242X,INVALID
006492634,006492634
00456349.5,INVALID
0037499.54,INVALID
001.260250,001260250
00.9794Q52E8,00979452E8
0047.55,INVALID
09958-4,INVALID
001.170812,001170812
008992284,008992284
003584.921,003584921
004468203,004468203
00-1740991,001740991
009928.2Q77,0099282Q77
0.07769920,INVALID
006428523,006428523
00604741.3,INVALID
00299306-9,002993069
00224417-5,002244175
006165097,006165097
006-08-0052,006080052
0071Z-m91x751,INVALID
009655903,009655903
005779612,005779612
009262079,009262079
00.9864133,009864133
0Z0-223589p4,INVALID
00653-0,INVALID
009707774,009707774
0.06652674,INVALID
0.26711,INVALID
002-75-9458,002759458
002665016,002665016
0-1337169,01337169
004-02-8465,004028465
008152-3,INVALID
00333-5,INVALID
00106-9447,001069447
00.5571766,005571766
005509222,005509222
0.0550240m8,INVALID
00887-1778,008871778
00780-0724,007800724
008038893,008038893
007-15-6818,007156818
006456768,006456768
00220B896-7,002208967
b0-0653226T2,INVALID
00.785323,00785323
004646427,004646427
0.01694273,INVALID
003-91-0793,003910793
0033527.89,003352789
007.261504,007261504
009729221,009729221
009336520,009336520
00537.3,INVALID
0x0615-57WH09,INVALID
00.834Z17t40,INVALID
00-6714678,006714678
001840764,001840764
007-61-9744,007619744
00-4769046,004769046
009-13-4245,009134245
0-03616925,003616925
00919g394.4XH,INVALID
005457962,005457962
0.07196094,INVALID
078.1841,INVALID
0.0300uX14A03,INVALID
00A959065jr.9,INVALID
003.563502,003563502
007498683,007498683
00.732703,00732703
008964209,008964209
005-46-9272,005469272
00240-6455,002406455
00-6760867,006760867
005723073,005723073
00-261l4no838,INVALID
009354039,009354039
004-98-5643,004985643
005853.359,005853359
0-03588,INVALID
006.329,INVALID
00.98a21084,INVALID
00829.2280,008292280
007434058,007434058
001-23-5857,001235857
009104075,009104075
007-98-8369,007988369
00549-439U8,005494398
006-17-6252,006176252
00-k9522895,INVALID
0099jo163W-97,INVALID
00247-2763,002472763
001384.713,001384713
0069-0766T1s,INVALID
0-0446382,00446382
TC0041711-91,004171191
0.05630,INVALID
008-73-3127,008733127
006678498,006678498
0094004-46,009400446
00.5007106,INVALID
00607.9144,006079144
007140910,007140910
005-78-2015,005782015
004128726,004128726
00.2078104,002078104
00315.008,INVALID
002-50-9791,002509791
001-35-3730,001353730
001614373,001614373
0026-06044,002606044
0-89745,INVALID
0071034-79,007103479
0050906-79,005090679
002-86-4686,002864686
005-53-0977,005530977
001688305,001688305
005908975,005908975
0.079299,INVALID
00247.67,INVALID
X0M-A08578725,INVALID
00405308-1,004053081
007536088,007536088
007-80-5223,007805223
00741-5489,007415489
0698.50,INVALID
004726313,004726313
006-70-4451,006704451
009626312,009626312
005-17-8255,005178255
005969893,005969893
003-79-5965,003795965
007-65-1068,007651068
004.266,INVALID
001-81-2094,001812094
001686.18,INVALID
001995575,001995575
003-44-8596,003448596
004228403,004228403
00340.6398,003406398
05.64755,INVALID
009-16-8552,009168552
005.826548,INVALID
009256554,009256554
009725077,009725077
0.06173803,INVALID
0078G19-333,0078G19333
007-98-2152,007982152
003-68-1965,003681965
002-08-5195,002085195
007695257,007695257
0.04306444,INVALID
007006756,007006756
008.299281,008299281
009-85-3743,009853743
0c0t14-09341,INVALID
00662-5,INVALID
00V1A2346w4-9,INVALID
008814425,008814425
0-05923,INVALID
001757460,001757460
007600626,007600626
00-43969,0043969
007643217,007643217
004-31-4075,004314075
008-41-2978,008412978
00520796.7,005207967
005599009,005599009
005020.917,INVALID
00137-6,INVALID
0058-64612,005864612
008-73-0932,008730932
008-63-1771,008631771
001-10-9628,001109628
003-25-1223,003251223
006064j4-2TL0,INVALID
00.4029h878,004029878
00615643.0K,00615643
00-448144,00448144
0-09964203,009964203
006-15-7633,006157633
002-91-8146,002918146
0-08473545,008473545
001828492,001828492
003-24-1792,003241792
0069664.62,INVALID
001-48-0713,001480713
0042-14547,004214547
00999519-9,INVALID
007108402,007108402
0084.w08708C,INVALID
006718942,006718942
09363-3,INVALID
0.04594,INVALID
002.217360,002217360
0286-30,INVALID
0091713-77,009171377
0086.23889,008623889
00t2.285870th,INVALID
007.88934,00788934
007-76-2713,007762713
0-05A938504,INVALID
00-2500824,002500824
004871098,004871098
D008I38o756.5,INVALID
006169888,006169888
005687766,005687766
006-46-9737,006469737
00.1262551,001262551
0046614.9k6,00466149K6
006733053,006733053
06-870036,06870036
003163-740,003163740
00-1589,INVALID
007.438270,007438270
002205896,002205896
0043430-61,004343061
009-85-3100,009853100
002732801,002732801
03.3217,INVALID
001-88-1428,001881428
003333-878,003333878
0421-390,0421390
008-01-7720,008017720
002523185,002523185
0168-8305,01688305
001192106,001192106
00441-9815,004419815
0704.162,INVALID
05-25726,INVALID
0z0.9u15H0935,INVALID
003-43-7945,003437945
003639827,003639827
00.9226697,009226697
001-42-4811,001424811
00.4772357,004772357
003-77-8980,003778980
0062.38740,006238740
00651.2572,006512572
0083.93091,008393091
u0.05z912480,INVALID
001-72-6676,001726676
00275Y429-9,INVALID
008494.225,008494225
06174.600,INVALID
0094Fe-6N8664,INVALID
002-20-0965,002200965
002-93-0688,002930688
056-5388,0565388
0038132-71,003813271
001-55-7141,001557141
002598936,002598936
006332816,006332816
002104348,002104348
007690666,007690666
002729127,002729127
0031726A-22C,INVALID
0056-03W894,005603894
006-65-1494,006651494
007689618,007689618
00249.5654,002495654
003946472,003946472
00959.5082,009595082
0R04.663865,INVALID
024070.2,INVALID
007-24-4613,007244613
0-0604585,00604585
009-87-2227,009872227
007-10-3479,007103479
0040.20949,004020949
003732595,003732595
005-72-6007,005726007
w0.M0172y6676,INVALID
008083117,008083117
001-25-8716,001258716
0051.46525,005146525
00569887-3,005698873
0.02768637,INVALID
007092782,007092782
0.0246109L2,INVALID
002-62-7906,002627906
0019.73586,INVALID
001845405,001845405
00831-7738,008317738
f00876-Z06M12,INVALID
007362.485,007362485
005-20-1837,005201837
003452-695rd,INVALID
005629382,005629382
003-53-7822,003537822
00334-3211,003343211
008360823,008360823
008-28-1513,008281513
001299.977,001299977
001-56-0574,001560574
00612.5,INVALID
0969-14,INVALID
005-39-0869,005390869
006470500,006470500
0062467.77,INVALID
00652.7491,006527491
002604630,002604630
03.6707,INVALID
004-228403,004228403
008-80-8509,008808509
040256.4,INVALID
00K4K08.7214,INVALID
0.07408533,INVALID
006865-413,006865413
00461.24,INVALID
00776-759,00776759
001015664,001015664
00361-3735,003613735
007-87792,00787792
001-194314,001194314
00-7576,INVALID
00478.3W796,004783796
005780215,005780215
007968992,007968992
004060871,004060871
0.08770240,INVALID
003-81-1446,003811446
002-04-6035,002046035
002-082459,002082459
003959874,003959874
005-33-5411,005335411
005977986,005977986
00872-6,INVALID
006721377,006721377
00.2871759hRy,INVALID
006-53-8391,006538391
004347-b028,004347028
006-24-3965,006243965
00K36d5-U8504,INVALID
00183.9401,001839401
0cV0569931.6,INVALID
00-47131,0047131
0-09794482,009794482
0-0913518,00913518
004799616,004799616
006807905,006807905
004a5BH3-1974,INVALID
009-80-3311,009803311
0061-79739,006179739
004055174,004055174
0.02888,INVALID
g002997N3.92u,INVALID
007-39-2433,007392433
0064-4481,00644481
002994950,002994950
022509.09,INVALID
006087880,006087880
004RV740z68.3,INVALID
003950-355,003950355
00.8167,INVALID
005246005,005246005
0041-9834,00419834
001446-845,001446845
003-68-2180,003682180
004776516,004776516
009705-80,00970580
00376210-2,003762102
088-9028,0889028
00602574-0,006025740
00315B1g13-6,INVALID
0-05390869,05390869
006-69-5723,006695723
0-026925,00269256
089-709,INVALID
008-00-9787,008009787
00.5895196,005895196
00782622-5,007826225
0037744.12,003774412
08175-6,INVALID
0073958f9.9,007395899
008659347,008659347
004079800,004079800
002474-767,002474767
0011840.04,INVALID
001041544,001041544
0054q357-41,005435741
00-5674315,005674315
003-123482,003123482
0.04271980,INVALID
006369807,006369807
008630282,008630282
006587343,006587343
002403.7,INVALID
007333388,007333388
002-98-0349,002980349
0015890b4.8t,INVALID
00-2144818,002144818
00308673.0,INVALID
007-545389,007545389
00-5559150,005559150
001291452,001291452
001-163758,001163758
007632481,007632481
0.09409634,INVALID
00-6241595,006241595
00439W5I1.94,INVALID
005845261,005845261
005-484086,005484086
002216827,002216827
003-66-9234,003669234
005407-714,005407714
002-37-3799,002373799
002-62-0725,002620725
005-86-0010,005860010
00.5671795,INVALID
008879283,008879283
00-1604740,001604740
0.05568074,INVALID
0.072341,INVALID
00u672-y2241,INVALID
008256.656,008256656
00-m2J5W09072,00m2j5w09072
00.2557912,002557912
0674.2545,INVALID
004773209,004773209
0.160908,INVALID
004129659,004129659
F0058.4th3579,INVALID
005-25-1700,005251700
006430853,006430853
006512572,006512572
00455-5676,004555676
003-97-8037,003978037
008278Nm2.52,008278252
0053-027,INVALID
00.705822,00705822
00.7y8N23253,INVALID
0090787.16,009078716
0498169.4,04981694
001-08-1266,001081266
00-60T90495,INVALID
003-94-9141,003949141
002-30-0647,002300647
002-69-2656,002692656
00340015-1,003400151
001-578213,001578213
001-09-5895,001095895
008770240,008770240
00811295-0,00811295
008-156282,008156282
0.0745D2t81z4,INVALID
006-84-4641,006844641
003-29-0314,003290314
0085.1011,00851011
0023835.7,INVALID
0E.06025b124W,INVALID
004234.502,004234502
002454246,002454246
00196172-8,001961728
005883572,005883572
U002078-391,002078391
0.37361,INVALID
0045037.63,INVALID
009-25-1452,009251452
F0010638.87,001063887
006-04-1114,006041114
006-04-2988,006042988
009956483,009956483
00.8229749,008229749
002137736,002137736
00329-5469,003295469
003876982,003876982
00593.8594,005938594
005161756,005161756
kt-00849z9138,INVALID
0164.09,INVALID
005-84-5261,005845261
004593lB.477,0045931477
00q18I149-42,INVALID
0096U-2237J8W,INVALID
004805.167,004805167
00s452.0Q8c27,INVALID
0016490.91,001649091
005-557781,005557781
00837.8144,008378144
c-00d8330726,00d8330726
007864526,007864526
006-61-4340,006614340
00.5549810,005549810
00.3881429,003881429
0079635.93,007963593
001517425,001517425
006-24-7050,006247050
009-91-2294,009912294
009225510,009225510
0032382-38,003238238
001575354,001575354
00.3514376,INVALID
005-67-9502,005679502
00.3795965,003795965
005iE8T600.10,INVALID
003396-389,003396389
00770-S4021,007704021
009-57-4929,009574929
009844D.628,009844D628
09189-59,0918959
0F076-x32481,INVALID
003-130101,003130101
001933710,001933710
00-3770,INVALID
00121.6255,INVALID
001-62-4129,001624129
00582928-8,005829288
I00Wu645092.0,INVALID
0054.59823,INVALID
1-075585,1075585
0018744.36,INVALID
006631613,006631613
0096898-55,009689855
009396.232,009396232
007261.812,007261812
00.9748318,009748318
007-004056,007004056
005-03-3370,005033370
P0013.38387F,INVALID
0057.79612,005779612
004-78-8781,004788781
009723633,009723633
004572581,004572581
008945207,008945207
009707874,009707874
0038367-2,00383672
005-30-8212,005308212
001339068,001339068
002547624,002547624
0096.68770,009668770
00e55094-45,INVALID
005833707,005833707
00.5772925,005772925
00464.3h1H74,INVALID
0086o5.4i011,INVALID
007.916163,007916163
009562-13,00956213
004-301y865,004301865
003z7-3p1633v,INVALID
005152948,005152948
002-88-7951,002887951
0b0528Z-8343,INVALID
001393981,001393981
001616420,001616420
0095228m-9C5,INVALID
0010864-55,001086455
004485912,004485912
00.5370111,005370111
00100578-4,01005784
001-08-0559,001080559
007449813,007449813
001123485,001123485
0T09G2Z.90769,INVALID
0-09046938,009046938
007-48-7683,007487683
008676.855,008676855
0010037.6,INVALID
004663382,004663382
006.9z86890,006968890
009632931,009632931
0068-68075,006868075
0037.02786,003702786
005-18-4701,005184701
0073076-90,007307690
046538-8,0465388
00894-5436,008945436
002512.083,002512083
04013-07,INVALID
0060476-97,006047697
006-18-1261,006181261
00A62439Bo3.8,INVALID
004-16-5197,004165197
009533954,009533954
04600-970,04600970
005454552,005454552
005-42-6383,005426383
0.0NP6950881,NP6950881
00944-2408,009442408
009-71-4217,009714217
0.03490923,INVALID
00T94U11.656,INVALID
00-7344837,007344837
006984108,006984108
002-98-0706,002980706
00.876304Px5,INVALID
04196.1,INVALID
00.4033633,004033633
007283-31j5,007283315
001-69-7892,001697892
0-09987843,09987843
003e0.52898,INVALID
0055.6621,00556621
006-33-8954,006338954
007-44-1466,007441466
008-55023,00855023
002-85-7782,002857782
0z015ob68.244,INVALID
00.3402,INVALID
0072.44613,007244613
003982346,003982346
00902-82,INVALID
00606947-6,006069476
0083.39003,008339003
006398868,006398868
001269695,001269695
001187147,001187147
00295.5019,002955019
001V7D9.291P2,INVALID
00.6169888,006169888
0064457.55,INVALID
008-80-4434,008804434
00514351-2,005143512
003751304,003751304
004-63-1366,004631366
0068552.22,INVALID
00263348-3,002633483
00818.066e1,INVALID
002-04-0168,002040168
005-47-4710,005474710
003M2.4b24G81,INVALID
005389929,005389929
00O4O96657-8,0004096658
008H5974-38,008597438
0038.35,INVALID
03.4657,INVALID
005-28-4390,005284390
008.954387,008954387
007-14-6875,007146875
0090309.15,009030915
001-65-3650,001653650
008-49-4318,008494318
000914-4,INVALID
003838793,003838793
007-19-1751,007191751
00695-4,INVALID
z002560S-987,002560987
0053547.63,005354763
0079l.K40021L,INVALID
005-68-3571,005683571
003702786,003702786
0033E30W.344,INVALID
009466043,009466043
004-54-6654,004546654
003-73-4686,003734686
00-2843,INVALID
008970973,008970973
00.9378158,009378158
W006g795C59.9,INVALID
0.087J80M452H,INVALID
016536-50,01653650
007.9C2S5r075,INVALID
00r36X558-08,INVALID
005995657,005995657
007514-382,007514382
004-64-8529,004648529
003600921,003600921
006658-819,006658819
0-053452,INVALID
0077838n-8F9,INVALID
009-72-8773,009728773
007857052,007857052
09169-341,09169341
007-26-2460,007262460
0.y011355l98,INVALID
007485.604,007485604
00-2174,INVALID
006172-652,006172652
007-77-5039,007775039
006-97-3207,006973207
00B30.K24874,INVALID
00230521-1,002305211
00283212.8,002832128
0019913-2,00199132
004076479,004076479
00fC65098z8.9,INVALID
008441006,008441006
009-19-0841,009190841
005-52-6877,005526877
0099.85208,INVALID
003939756,003939756
00-9649017,009649017
00830.9924,008309924
005811501,005811501
0037-52378,003752378
009932427,009932427
02-9634,INVALID
00-6359275,006359275
007-51-5134,007515134
00674.2545,006742545
009369375,009369375
00749653-8,007496538
009-93-5501,009935501
009041875,009041875
o00239249.i9,00239249
0054244-53,005424453
005-72-6242,005726242
0J048373.78,INVALID
0057.481,INVALID
015-73717,01573717
001598038,001598038
008259013,008259013
001065977,001065977
0-F09622q378f,INVALID
0030.63145,003063145
0.05945296,INVALID
006-51-2572,006512572
001-05-5497,001055497
0988-520,INVALID
009-66-4575,009664575
00.5252810,005252810
0055161-92,005516192
004o2I4Y77.81,INVALID
006246777,006246777
008-90-1398,008901398
00583.6440,005836440
009-59-1244,009591244
002226517,002226517
0.06234709,INVALID
0010367.60,INVALID
001.278371,001278371
0-068b93497,006893497
00.2414009v,INVALID
005292300,005292300
007.81g9333U,INVALID
003-22-8735,003228735
0099996.67e,INVALID
001-22-3977,001223977
004-04-9914,004049914
001699577,001699577
0-0453350,00453350
00927521-6,009275216
038814.9,INVALID
0688-086,06880860
0.07674861,INVALID
00274001-3,002740013
009951C75.9,009951759
00369.177,00369177
008.758918,008758918
008487767,008487767
0051319-0,00513190
Q-007Y366937b,INVALID
004453111,004453111
009-10-3409,009103409
001.80921,00180921
002300647,002300647
00617265.2,006172652
008-702265,008702265
001-01-8945,001018945
00175-7892,001757892
007838530,007838530
005-13-3078,005133078
002-41-6431,002416431
006716303,006716303
003-33-3878,003333878
003-90-6966,003906966
008-28-5291,008285291
005-27-3833,005273833
003018932,003018932
0042-77724,004277724
006-38-6537,006386537
005015894,005015894
0.03549452,INVALID
00656.2281,006562281
006184256,006184256
006-26-3926,006263926
002679161,002679161
005-70-6721,005706721
00753-7617,007537617
001512-566,001512566
00532290.6,005322906
006536621,006536621
0mn06846.316O,INVALID
0049-977,INVALID
00664-h6429,006646429
00116498.8,INVALID
008553698,008553698
007711611,007711611
00.5507330,005507330
008-09-3720,008093720
E00o1c78.3484,INVALID
0403-30,INVALID
006318963,006318963
0-07828788,007828788
006-92-0115,006920115
00702879-K9,INVALID
07.46313,INVALID
009-60-6221,009606221
006336.016,006336016
003-35-1072,003351072
002-08-1525,002081525
008-683852,008683852
0.059404S26,INVALID
0s043884-15,INVALID
0027532-53,002753253
002636575,002636575
00884-4981,008844981
008-00-5727,008005727
U0-J08574492,08574492
L009195663x-w,INVALID
00635687-2,006356872
005115-494,005115494
003-97-5732,003975732
004510121,004510121
008.511075,008511075
0080-90960,008090960
00.2427311,002427311
009769.687,009769687
0019-78278,001978278
005-02-9006,005029006
R005041.437,R005041437
001142152,001142152
001.5473,INVALID
004141693,004141693
004091505,004091505
00713036.2,INVALID
0037-8rP55L01,INVALID
0089126-30,008912630
00-4950263,004950263
0017780-15,001778015
002709y6.42,002709642
003692433,003692433
004.594194,004594194
004-485,INVALID
00190.8716,001908716
004397223,004397223
008623230,08623230
009-769945,009769945
002-60-4630,002604630
3-41984,INVALID
00.1961257,001961257
001-13-5283,001135283
0025.01210,INVALID
009-04-8388,009048388
0055.93620,005593620
S0012-7c8171,INVALID
003-88-1648,003881648
0.06330814,INVALID
00811-6985,008116985
006883U4-55,INVALID
004-16-6432,004166432
0015.16540,001516540
001348284,001348284
0.01957875,INVALID
00.5123746,INVALID
009148303,009148303
004-58-4053,004584053
005435677,005435677
006-74-9122,006749122
00H5.6T81971,INVALID
00920108.3,009201083
005-50-3374,005503374
00462529-4,004625294
00E69849ah9-5,INVALID
005041611,005041611
0-1616972,01616972
002-45-7655,002457655
0sx-059515Q08,INVALID
008.676751,008676751
007-39-9308,007399308
005865906,005865906
Wl-005B471209,005B471209
00-9774328,009774328
0077.65,INVALID
00788.1701,007881701
001683627,001683627
003-518474,003518474
003576595,003576595
003919649,003919649
003-20-2559,003202559
005.53x6641,INVALID
068-48056,06848056
00572.40,INVALID
0074.85604,007485604
00.3785882,003785882
007856415,007856415
009087384,009087384
00726-5542,007265542
0070-274E57,INVALID
002-81-6286,002816286
0071.D06861,007106861
002364430,02364430
005.5613,INVALID
004-62-0663,004620663
008-69-4342,008694342
09-304390,09304390
0082-83075,008283075
007-68-0943,007680943
005738499,005738499
005687669,005687669
00852120.5,INVALID
004709588,004709588
Z00g242-8c834,INVALID
001750957,001750957
0.096326,INVALID
0040766Z.YO21,INVALID
007-04-3488,007043488
007500055,007500055
0o0Q.2205301,0002205301
001-770,INVALID
004062055,004062055
0-02192670,002192670
009778972,009778972
0-09606221,09606221
006.749530,006749530
00j27-60893,INVALID
008-07-2356,008072356
008727415,008727415
008343.975,008343975
0725.23,INVALID
0032.69213,INVALID
002-45-9626,002459626
006470019,006470019
bd-003k370150,INVALID
009992-782,009992782
03742-2,INVALID
0077710.06,INVALID
00-5819867,005819867
00.664175x8,INVALID
005-16-2945,005162945
0061-93807,006193807
0-07463,INVALID
00.5616863,005616863
001991767,001991767
005693-31,00569331
004-035,INVALID
003803841,003803841
006565.16,INVALID
00.8537139,008537139
0.08514430,INVALID
004626922,004626922
004-64-7270,004647270
006Y8KE340-90,INVALID
0098597.78,INVALID
001345257,001345257
009-31-8375,009318375
0-062480,INVALID
004-4590U95,INVALID
0250-1638,02501638
00760330-7,007603307
00503-1907,005031907
00672.7065,006727065
00-227538,00227538
001-17-5184,001175184
07-9674,INVALID
006580060,006580060
0O.07730434,07730434
002046249,002046249
009.002464,009002464
0078.86,INVALID
007-06-7209,007067209
00252.6177,002526177
00-4325367,004325367
0I062779-18q,INVALID
005977670,005977670
005252-810,005252810
009A.lX479367,INVALID
00.86671,INVALID
007575692,007575692
008-31-6186,008316186
003-93-5685,003935685
00643570.1,INVALID
00531-1,INVALID
0B.08U010082,0B08U010082
