ssn4,ssn,zip,dob,r,g,ln,fn,ed,src,id
8492,009148492,05112,19900302,,,WHITE,EMIILY,20230414,D1,c334729558fca9040b9352a86da02fed
3000,002463000,02622,19030403,,,BROWNE,HANNAH,20230414,D2,ef54489f68bec3ada0f7229d7523ab33
4523,005434523,02166,19460529,,,KONTOPOULOS,HAYDEN,20230414,D0,cf5ee791c996d6fe14fed898ff376ede
4627,007374627,03121,19690516,,,HOWIE,EMIILY,20230414,D0,449651c4c8a9bd2642e454e7ea37d937
4767,002474767,06172,19591218,,,ALLARD,JAXIN,20230414,D1,6ca849f20fc76f6cabab0ca8b7406c54
4208,004444208,02196,19550918,,,STEARNES,BROOKE,20230414,D2,c2716856e9df31934eb4af713b408c65
8719,006888719,05170,19420318,,,BISHOP,BRADLEY,20230414,D0,abcce4f1756ebdc8e530269a0f3150b8
3415,003793415,03012,19040522,,,BOSSE,MIA,20230414,D0,9c4173fcc93a25ebea1bd4ecd2a39c87
3771,001653771,02340,19910314,,,DOBRIGNA,HAMISH,20230414,D0,1b366241bdedde5e5145e1c55213785a
4236,001784236,03373,19690821,,,CLOUDSDALE,THOMAS,20230414,D1,7511dc8150fad2eae426dba7aa29b66c
7014,005927014,02087,19291227,,,WHITE,KYLE,20230414,D2,b311dc548ba8b7a20a81deedbb59015e
5067,008005067,02229,19820315,,,CLOKE,JASPER,20230414,D0,6977dcebaaa6f3bfaab9aa22f3cc6d00
6198,003896198,07315,19271020,,,PEACEY,SILAS,20230414,D1,0c6ddb50db6fdfe2f218f9f9a2c005a7
2483,004982483,04035,19090303,,,RICHMOND,MADISON,20230414,D1,98303218126f7c90c8e926c10e55c14e
4847,002014847,02485,19511113,,,TREGLOAN,ELIZA,20230414,D1,62a2fd8d49d1fe60028da5e46e30458a
9969,002099969,03941,19180616,,,BEDNARCZYK,OLIVER,20230414,D1,638fb010d1c155a63e35c0a40e6506d8
4428,001994428,04030,19860104,,,BRITTEN,JASMINE,20230414,D1,e725104562419998a5177101ed48a6a2
3925,005003925,02290,19360817,,,HODBY,,20230414,D1,364a2553380b4fd47a4b0bcb6adf5a9b
2551,004942551,02165,19380904,,,STEPHENSON,JORDAN,20230414,D1,a8545e54cbc3812396860339bcc68bd8
9443,005669443,02121,19410429,,,RYAN,JORDAN,20230414,D2,f37c5b0dc15cf0022e3f2c80ff192ac3
0349,002980349,02281,19650405,,,LOVELOCK,MATTHEW,20230414,D0,91eac022cf62e98f549e538871a7e2cb
5322,007395322,03152,19060303,,,KEMISH,JACKSON,20230414,D2,b6b039b339685987101fab4b8399d7ec
8281,005058281,05024,19990620,,,MASON,SIMON,20230414,D1,de9865c1f185989f8045ff89053640fc
2958,002112958,05163,19890204,,,FERGIE,ALISSA,20230414,D2,b3838f069e192379e283d908c7147d45
2944,002292944,03551,19251230,,,CHANDLER,ANGELINA,20230414,D2,903ea154505bd28a8a6335e23028d240
1509,004501509,03825,19060312,,,SUNDERMAN,HARRISON,20230414,D2,444bc37b75e9d9c14cf4996537abf456
2815,007052815,02460,19121212,,,BISHOP,SEBASTIAN,20230414,D0,dd2819bc391673bed53e906a3d3b45b5
1683,004891683,06164,19530627,,,BARBUTO,JAKE,20230414,D1,1028912e34ac6e91c989dc1b8be718fe
8564,005768564,04005,19431106,,,SPONG,KYLEE,20230414,D1,59c380a96f447cb1cad8636c95208824
2662,004232662,06058,19841009,,,KANIKULA,COOPER,20230414,D2,ba369c7173236fc7ccc28d5c2b325e61
4194,001494194,02095,19810118,,,MORRISON,DANNY,20230414,D0,c06cd8f7d67a749f609be40b47bd1297
6297,007136297,06168,19700115,,,MICEK,HARRY,20230414,D1,b1d42285ee7924a672321848d87e47e4
2387,003062387,03135,19010110,,,JOLLY,ALESSANDRA,20230414,D0,bbe5aded4366bec33460369395274343
9792,006099792,07330,19750210,,,BULNER,KYLE,20230414,D1,ffc2416e8254c4d571dcb70e50b6c0ae
5532,006115532,02148,,,,WALLS,MARCUS,20230414,D2,2494e5f75ddbb55d219486f587f890f3
8156,008718156,04306,19770724,,,KILBY,CHLOE,20230414,D2,30721172a19f71dc1502c1816f776e38
3977,001223977,02146,19960609,,,SKEEN,ANTHONY,20230414,D0,3ee48f1f2365d1321df68e4789aa4fb4
1501,005811501,02480,19330630,,,BERRY,ISABELLA,20230414,D2,b278b3b61c3c7461e16ac75acd0c584f
6192,005516192,04051,19050712,,,SCHALLER,ALEXANDER,20230414,D0,ace1cafdf99397c6ab6b41dff6d45322
3111,004453111,02650,19480614,,,ALLCHIN,JACOB,20230414,D0,29fc9436b2b7f1b5d719182edda0cf99
9161,002679161,04655,19471029,,,BISHOP,KIRRA,20230414,D0,f28c8612fb62bcc8d4b8cfd4512b141a
6877,005526877,02144,19431111,,,DIXON,BROCK,20230414,D1,11bab45cc84914828311f2c64a64ee53
3145,003063145,07018,19550816,,,LESLIE,ZAC,20230414,D1,a90661df24b1a3a7eff7bafe9dcd621f
2545,006742545,06169,19790823,,,BENGER,,20230414,D2,961e45407bf73c5043a01a712f7e6125
3889,007783889,02213,19030324,,,WILKINS,CHARLES,20230414,D0,2c2889d439dd0e29d4dd92283afcb46a
3828,002843828,04051,19430929,,,CLARKE,TIMOTHY,20230414,D0,463808176279a8fecfaaec8ecfc7caba
6043,009466043,02116,19960420,,,RYAN,NATALIA,20230414,D0,3c58be2e75c9146f6ffa4185ae465fd8
1442,004091442,06025,19250618,,,WHITE,NOAH,20230414,D1,76f5071fa93d94624f48f6ecb2e8e853
3717,001653717,02671,19040605,,,RANSON,KOBE,20230414,D1,91d1a56d73d8662325798065b732e260
8076,009308076,03356,19401205,,,MCCARTHY,HANNAH,20230414,D1,e98b26baf5821f727ed2beed44e63653
5664,008085664,02574,19661012,,,BISHOP,JULIA,20230414,D1,be41fdca60dd8acbf5dd2802ba7955bd
0005,008450005,03121,19281017,,,COLLIER,KYNAN,20230414,D2,872b7c54c760d1a76579897021d73850
7009,006007009,02130,19890812,,,FILIPOVIC,ROBERT,20230414,D0,5a0fc6fc416b57dda2ee79ca498b428e
7431,004127431,03777,19730919,,,BLIGH,KAITLIN,20230414,D0,08f54e8e72bb920754424647e3d76229
7720,008017720,03217,19021003,,,VERNER,FIMLAY,20230414,D0,011e0dd891e7616d37ca90e83d8e5056
5551,003455551,03121,19660323,,,CAMPBELL,DEAKIN,20230414,D0,fac557724cbb6fff652c9add8fd9ddb1
8639,001038639,02250,19980514,,,BUNT,THOMAS,20230414,D0,837d5371b27014666b9367c52d7d801d
8848,008378848,03139,19441017,,,WREFORD,JOHN,20230414,D0,514a803840b3b4c5fcda948c6a738848
9107,003909107,02217,19350909,,,BERRY,BROOKLYN,20230414,D1,426a9a3cab7c37586abb1d8e81c979c2
4814,001184814,03709,19731020,,,EYLES,,20230414,D1,d0acfca96c48541a36d5bce1fe9af304
4816,008894816,04218,19620815,,,WHEATLEY,LACHLAN,20230414,D1,89f2d5d5800149c9c01b289e23ab3fc5
3116,003663116,02046,19091031,,,MCCULLY,TYLER,20230414,D0,fbaf0885362246d337cc21df73356ae2
4213,009794213,02500,19040211,,,GEORGE,KASEY,20230414,D1,a988094bf48c7231c7f348a266c2acd1
3176,002013176,04030,19670215,,,,EBONY,20230414,D0,7e7b9c3bf911d95e1a7817dd915c334d
6452,005196452,03280,19651030,,,PATERSON,MITCHELL,20230414,D2,e84b878a2d2540984186959b8467515e
5481,004155481,07325,19170701,,,DUDLEY,NOAH,20230414,D2,149a566fb479d805474bc347c1f21656
5598,001135598,05039,19810522,,,MORRISN,MAKENDI,20230414,D0,dd8edb0de11941c2d4bb49c6ed7bfea7
8130,006678130,04034,19091111,,,STUBBS,KIRRA,20230414,D0,12b0da1bb444b460c1d38287639ee9c6
6564,007166564,04121,19011225,,,SCAMONI,PIA,20230414,D1,8b54293a13f74649473fbbf6e00f8e52
7267,001727267,05290,19901210,,,RAWLINGS,TOBY,20230414,D0,13c112f4e957d478606dc5844fc01b97
8295,006198295,04103,19211108,,,SPEARS,CHARLI,20230414,D0,8a5e697e17d691c2dcf8a71db4d9692d
9440,001219440,05109,19970907,,,KIERA,KRANX,20230414,D2,e520befd0c733310a187ef8499f54e7d
9614,009469614,03084,19351117,,,MONTELEONE,JESSICA,20230414,D2,a661e3e56bc6e93b9180a8bfcc1b4f5a
4046,008974046,03138,19550307,,,WALLER,LACHLAN,20230414,D0,f0aaacd502501908f58b571c93d86c5b
8868,006398868,05008,19150326,,,LACHLAN,FUSCO,20230414,D0,f9382f1ebffafb489c3761621fe81882
6979,001356979,02530,19730915,,,AUTENGIUBER,MITCHELL,20230414,D1,3a4647062245ea0456faa554b90f0e15
9019,006279019,03505,19740623,,,SHEPHERD,ADAM,20230414,D1,c2d09047548b9510ba3231c9fce3f22a
4843,009374843,03130,19860606,,,TARNIA,GREEN,20230414,D0,6deb59151dc093d0587387d6f92c332a
0647,002300647,04870,19361206,,,MATTHEWS,,20230414,D1,c0ce58f532d93133a93b9197e1c8aa63
2829,001902829,06162,19150402,,,FEENEY,HANNAH,20230414,D1,58f621c74cfa73355f72074ade37a8c0
0484,007880484,04700,19780627,,,SIMMONDS,JOEL,20230414,D1,c84a6e686d5b3134dc067088497f7ac6
7071,008177071,04305,19271012,,,AGIUS,CHLOE,20230414,D2,236d331cb76ff2e78d501237b63c888b
6686,005126686,04721,19530524,,,NGUYEN,JAYDEN,20230414,D0,033fdd5f8c553673b069065ad04ff9ca
0000,003890000,02113,19910607,,,MORRISON,BENJAMIN,20230414,D1,8d6635a1aa68e691252ebeed52ee56d2
5882,007825882,03204,19540116,,,RAFANELLI,COOPER,20230414,D0,3700b83cba98ac70fd085f4c044f3ae7
4231,003844231,02176,19670307,,,ARMANIOUS,LEAH,20230414,D0,10ed1ee9def2b123750c22ead4e42bd9
9768,003199768,02137,19040317,,,HINGSTON,TERESA,20230414,D2,6d1e016b9f24cfcc3fffc05b7e645af8
4263,005274263,03201,19010625,,,CORRIE,FRASER,20230414,D2,9b8a36169c7c86655d37f207855922af
0994,004420994,04870,19221204,,,GOLDSWORTHY,JACOB,20230414,D2,688df106c7106b7fccac147ea34035fc
1046,005951046,04280,19390621,,,PERIN,ANDIE,20230414,D0,2f588b40595d84d39b43d154e7e9cc87
3078,008503078,02340,19390619,,,HOBSON,ANGIE,20230414,D1,f8e47a23b411ad44166df667a69eebab
2831,003512831,05061,19320901,,,BOYLE,SAM,20230414,D1,3cc76305efadd5d0475be18c6e48b3cb
5765,007835765,07017,19240304,,,MULLIN,SIENNA,20230414,D2,927fa99bd502a5c1296c68bdbe4d089f
1545,005511545,03051,19030507,,,LOWE,NIAMH,20230414,D2,3bdce2d30e894abe7f022275034ba34c
1439,003131439,06083,19710512,,,MCCARTHY,CONNOR,20230414,D1,c43d3708b1b595820873c860ce4360c9
9919,004449919,03123,19350914,,,RYAN,GEORGIA,20230414,D1,617035bf46a55cc7168d07829c327ac5
6980,009016980,07018,19761129,,,FRISWELL,ANNABELLE,20230414,D1,95a17b7576c99cd41e54fb1a8d1df9f1
7401,009357401,05272,19740323,,,ILIOPOULOS,KAYNE,20230414,D0,2d12cf3bf8626fbae417e51e1e21756b
0344,003330344,03388,19300607,,,HANIGAN,BRYCE,20230414,D2,5f20aa26880d409e861e769df8b616cd
3269,005873269,02195,19690702,,,ROLING,WILLIAM,20230414,D0,f18e2f17802191d585df87e7c96b841c
6590,003606590,06017,19950612,,,THORPE,EMIILY,20230414,D0,bffbb47accadad21c042a072115b9afc
8223,003698223,04810,19160921,,,HARRINGTON,BENJAMIN,20230414,D0,83a3cd3b008496a63c184fde781059e1
3519,004293519,02707,19430102,,,STANLEY,ALEISHA,20230414,D0,9d8121da3b1aab763ef5d1f4bdf68e06
9715,003479715,06026,19810226,,,SCOLLARD,ABBEY,20230414,D1,08071632213356575307ecc47e5af4a5
1642,005251642,04075,19440816,,,MONJENA,ETHAN,20230414,D1,555ca14f7d0133ed65f0e2b4b35ce830
0752,006310752,07255,19610813,,,GERAGHTY,TOMMY,20230414,D1,64fb7f58d1fb0fd1f521457cb9a93a79
3078,005133078,02217,19630227,,,PONTT,HAYLEY,20230414,D1,ec15b9bd7d667ddfc9535fa8aef86cf4
3571,005683571,03053,19630608,,,SLATCHER,RHYS,20230414,D1,ed3793df1dbaaa3fd0d2aa44eee6c250
5599,006795599,07250,19490704,,,MASON,LAUREN,20230414,D1,54b1e6b2c5d8ecf0cf73691fbabc76c4
7892,001697892,02315,19951125,,,RUDD,JOSHUA,20230414,D2,372c831cc8c959d0bf8e4255bcae7979
9929,005389929,03183,19630401,,,DEGASPERI,MATTHEW,20230414,D2,fe89894012204ca80e7aeefdf00c6076
9586,007419586,02193,19370312,,,DISSINGER,JOSEPH,20230414,D0,ee46421c747efaae1025d9c74fbd82b0
8003,008258003,04012,19010912,,,LODGE,HARVEY,20230414,D1,9367380e44712a7c2ed77210076958b8
7645,007387645,03166,19680319,,,FLEISCHMANN,TRISTAN,20230414,D1,802f5324b87828ea1afc9c5370d1f92f
2652,006172652,05266,19520113,,,HELD,TREY,20230414,D2,fd4bacbadd2f25747b5ec6368343d16a
4098,004874098,03220,19260709,,,EZIS,NATHAN,20230414,D0,7b2287b234f914b0ea3696607ba84cb5
7014,005927014,02017,19291227,,,WHITE,KYLE,20230414,D0,c937abaf7f79bcbbcf929be7b0716229
2850,005422850,03939,19301215,,,MCGREGOR,PARIS,20230414,D1,c2e7e0af6bcfe4b4a00f184e66dd530b
2934,001722934,04220,19910824,,,KOULIANOS,MADELINE,20230414,D2,6ca50231ed09a92d44690a304f166c7f
7426,008137426,05606,19490705,,,HINGSTON,NOAH,20230414,D2,b1277c30f4f45b1aef7946d2aca155d4
1073,005971073,04217,19920102,,,KASEHAGEN,ABBEY,20230414,D0,4acba93cbcd992c8a3e9c57a3566c530
9495,008739495,07017,19201110,,,NYGAARD,KONSTANTINOS,20230414,D0,5adb669e8f14a69890d335fba0d64f8d
8635,003018635,04301,19900722,,,LEAVER,CHLOE,20230414,D0,9420a931f5245b2a178940d9fcf5b324
9341,009169341,03355,19030918,,,CAMPBELL,ISAAC,20230414,D0,f1c2c7a64948b5357eb212d5bf6b079a
8945,001018945,02101,19200528,,,MORMINA,KATE,20230414,D1,137a5ed7ef601d2a4c3c1e2a45e98ea8
6934,001996934,02000,19490404,,,DENNING,JESSICA,20230414,D1,fcd0a36a07254e9fc6c51b2d1586d164
7774,009707774,04362,,,,BOWERMAN,LUCAS,20230414,D2,b01aebecfed28c0200204560a086abbf
2234,006122234,03152,19381003,,,HINGSTON,WILLIAM,20230414,D1,b2d44ba5222984ba29ec29cc187119c0
1642,005251642,04075,19440816,,,MONJEON,ETHAN,20230414,D2,399e8269c4750eca8316420c30cc5f22
9749,008229749,03015,19591204,,,ARTIS,JACK,20230414,D2,516631c85ccba447423433a784e37130
4442,003874442,02830,19320125,,,ROGAN,CHARLOTTE,20230414,D0,cfa775cb963f6ccaba6347cb098f635d
3663,004313663,02803,19490511,,,O'SHANNESSY,JOEL,20230414,D0,ba0564613339b64b397694cb90ad2eed
5818,006725818,03177,19620216,,,WESTHORP,KIRRAH,20230414,D0,300e171c9c56ff1b516b5774b3c6e1f3
3954,003063954,02089,19920917,,,MATTHEWS,NICHOLAS,20230414,D0,7b01173abb4a3557d4c489823a4e5d18
9138,001279138,03182,19970912,,,HOWIE,BENJAMIN,20230414,D1,37bda5b9ddf363f13b5f58307e1e4bb1
6059,001116059,02546,19630224,,,MULREE,CHARLEE,20230414,D1,5a953dd218a2c24c43c8160acfc8fe5a
7979,009387979,03350,19720507,,,OTTENS,EMIILY,20230414,D2,2647a41637e7823055c16ec0283b2acb
7097,004847097,02280,19900506,,,MATTHEWS,TARA,20230414,D0,16e97b357abfbd8b265b162241ca798b
0634,004200634,02747,19630127,,,NEGRI,THOMAS,20230414,D0,07b18832f07704f5a34ef7086bd21af8
6644,008516644,02321,19040802,,,KESSECK,ALEX,20230414,D0,2bcd83db0ce05fb8e6e10271371c92da
4613,007244613,03086,19001003,,,NIKOLEC,BLAKESTON,20230414,D1,de95908e67339092fee6258d2fdc99bd
0666,007690666,02160,19210208,,,JASMINE,WHITE,20230414,D2,f2d2f75328f4a59a17fbef2f8e05c11e
3110,005403110,03522,19070310,,,WHITE,CAMPBELL,20230414,D2,5ce7001fc239c53b2f944fc1e1bd2780
3334,003343334,02050,19390401,,,RADIC,BRIANNA,20230414,D0,bef4aa45919851f13e2a6df50d7c161b
2604,003992604,02548,19870613,,,DIXON,TOBY,20230414,D2,c127d91319a9a7aa26036f468677259a
8182,004318182,02047,19440114,,,NICOLL,JACK,20230414,D2,f90ea6aa440b1648708a9c28a2e336b1
8108,002198108,04551,19310806,,,SCHUSTER,MIA,20230414,D0,94f39d3881ce827a5d5b224b287d6527
2039,008282039,07006,19920223,,,PARR,BETHANY,20230414,D2,3899e8c90b02f0be87b72c145fdb12e7
5977,001065977,05290,19911026,,,HISLOP,DOMINCI,20230414,D2,30260fd89e8631b2789788d72e546395
9279,001609279,07315,19470817,,,QUINTON,ZACHARY,20230414,D2,9d93b7c0200231541f7f670825f206ce
3368,006793368,05017,19060314,,,BISHOP,OLIVIA,20230414,D2,76c826469845c4fa0639a58c6a5f7072
9454,007999454,07006,19010503,,,ROSATO,ALANNAH,20230414,D0,9ed118dc44e950b198d7a00c0bf083d1
9472,005279472,02041,,,,DEVIN,CHLOE,20230414,D0,b7e3404160a830b4a605ddcb3ef5d41d
3111,004453111,02650,19480614,AA,,ALLCHIN,JACOB,20230414,D0,90089da19317455329c2c6638b9afb58
6537,006386537,04506,19820708,AA,,HANNINK,SAMUEL,20230414,D1,789a9e3f3f4ecece3c0ed3eba874733b
1321,001991321,06016,19320417,AA,,BOWERMAN,JOSHUA,20230414,D2,9da351af4bb6d267aa6f07006f488a7b
2027,008262027,02518,19860526,AA,,GILLARD,MONTANA,20230414,D0,636ba1744a8e3f691f432a8e139c8f14
1278,003131278,02066,19140220,AA,,FONDUM,ZALI,20230414,D0,c38a2e0f25a972a19e62c5ff5102e73f
6121,007236121,03739,19710114,AA,,SHOUBRIDGE,NATHAN,20230414,D0,adc1e8fc61d115bcddc19c10fbeb49ef
0660,006020660,02320,19830325,AA,,MINCEHR,MIA,20230414,D1,70ab85880efff38c9d81f42b2a4e02ec
9949,002689949,03071,19871001,AA,,CAMPBELL,DARCY,20230414,D2,6885a80e2d489da9836710996cb30c13
0227,001760227,04077,19431127,AA,,PURSER,CLAIN,20230414,D2,3e8e96f875e3307976ebd13d623b8c4f
1532,006991532,02280,19760316,AA,,CAMPBELL,ARCHIE,20230414,D0,14372b60bccf87b612264eda2f0af616
5834,004955834,02170,19070804,AA,,FITZPATRICK,JADE,20230414,D2,8aa76e24d87b2c11e8742243306e7936
3179,009643179,02110,19160818,AA,,BISHOP,PACE,20230414,D2,bc0b3091116037fb2d8158adcf274360
9800,004079800,04196,19300417,AA,,RAWLINGS,THOMAS,20230414,D2,f0605f182f168e192d68f991005c0bed
9668,008849668,02261,19130331,AA,,JEFFRIES,EMMET,20230414,D0,a3d6928796f8da6ae066ab1722cd0dc1
8716,001908716,04122,19520130,AA,,PROCTER,MATTHEW,20230414,D0,b8c23a22383a2bc9d26b1140ab0ed0d2
0209,007520209,06056,19051108,AA,,BASYARUDDIN,ARABELLA,20230414,D1,293f7a3e1a1f68bc335dd64a66e43b10
2429,004512429,02259,,AA,,NICOLLE,AIDAN,20230414,D2,000274cd753036d11ff3935ae915731b
0351,001900351,04558,19980219,AA,,BERRY,JOEL,20230414,D0,178cffa6449e15321c6a6da07266f8e3
5216,009275216,06514,19180116,AA,,BURRILL,JAMES,20230414,D1,008bb4edaabc92db28f1164059e62392
4613,007244613,03068,19001003,AA,,NIKOLEC,BLAKESTON,20230414,D1,45cf4de5c76ee0279f49bd74c99d5123
4364,009114364,03101,19460729,AA,,REID,ALICIA,20230414,D2,3af3e6619a2ed2ed5c93ea81441de211
2985,007432985,03199,19540201,AA,,MOLLROSS,SEAMUS,20230414,D2,7f695f41a8ac3a58d354948b190b669b
5922,004235922,04670,19850611,AA,,WHITE,SARAH,20230414,D0,1f671816235d207c44ee43fd41f5c4e6
8719,006888719,05107,19420318,AA,,BISHOP,BRADLEY,20230414,D0,0458beeac2f916764d0bd855d368eecb
7657,008077657,04370,19981230,AA,,LESLIE,EMMA,20230414,D0,ffeff6fe1c83fd7964ec5b9bf54105a6
8033,001188033,03941,19500215,AA,,ASHER,NATHAN,20230414,D1,2fe6cee39605f69c926dbe2a7bf23217
1407,006991407,03163,19070809,AA,,STEPHENSON,CARLA,20230414,D2,babaee810edd28594797e75ba560b1d8
0446,008150446,05024,19990319,AA,,BURFORD,ELLOUISE,20230414,D2,ac5d1018395bf846a99af40fac936e08
3576,003393576,03305,19521231,AA,,RANKINE,NATALEE,20230414,D1,31373aed8942e829b22db21b1640a2f2
7743,002007743,02221,19770214,AA,,FLANNERY,NATALIA,20230414,D2,e5383e5e0af99e32af4c3f4f48e526eb
7639,005477639,02036,19131119,AA,,FELMINGHAM,ASHLEE,20230414,D1,dffbdd8d005b9f251371670665622c49
9914,001999914,02538,19391008,AA,,GEORGE,LAUREN,20230414,D2,4570a62332a779fdf74d05d1c1be662f
7801,004227801,03254,19081020,AA,,NEGENHT,EMIIY,20230414,D0,78e2daf27a5cd0d588581f675c5a8e39
9204,003419204,02146,19600503,AA,,RYAN,JACKSON,20230414,D0,2324f4433fce68d67e3f7403cb696d2a
5808,003655808,06170,19601012,AA,,IKPEDA,BRADLEY,20230414,D1,c9515dcfa57ef976c9282c6ea9656afb
8352,002348352,05600,19910120,AA,,NGUYEN,ZARA,20230414,D2,3f078805ca2fb1379363be8dc444b674
8404,006288404,04074,19050528,AA,,WHITE,RICHARD,20230414,D1,27238e1097d2644c3094f56872c4a326
0645,008260645,02042,19270201,AA,,SELTH,BENJAMIN,20230414,D1,da220b0129fc2d676ba7568766c1364b
3324,001873324,04701,19920302,AA,,CLARKE,BETHANY,20230414,D2,6a0780256c14ebab498cbb4b1b30ad52
9515,009439515,02026,19960123,AA,,GAO,MONIQUE,20230414,D0,6852d83d32bce894022ad3a8bff7f304
1587,007541587,04030,19770929,AA,,KIERNAN,BROOKE,20230414,D1,5a894d0b2b2c5471f3f1981f08f8afd0
7036,005217036,03085,19760211,AA,,JONGEBLOED,KAITLYN,20230414,D2,63665ef8efa38de321866f15b0caffd5
2215,007802215,02168,19301223,AA,,BROCK,EMIILY,20230414,D2,772b6bfc31ff43c0166c1359812a5935
5413,006865413,02233,19950710,AA,,CUP,PEYTON,20230414,D0,b4cf1156ed22fbe890d81f6fd6afcdd2
1228,002721228,02460,19110518,AA,,PIAZZA,ANNABELLA,20230414,D0,d0192d70a367b5b463eb49d79ef61606
3806,002933806,04514,19741024,AA,,RESILI,XEPHEREN,20230414,D1,de44b0911010fa66886e5e8b74c9baeb
8717,007618717,06050,19800316,AA,,GIBB,ISAAC,20230414,D1,0388189fd3487cc6200b81e066c46909
4575,009664575,05074,19151110,AA,,CLARKE,CAMBELL,20230414,D1,1cfb1eb07916c768808cdf26ceb072c4
4773,002154773,03218,19720111,AA,,DICHIERA,KYLE,20230414,D2,63a6e7dee970f481382f8a9e4ee91e87
1372,001631372,06603,19590905,AA,,GIBB,CHRISTOPHER,20230414,D2,dc6722e5c1739100c1d4238560f33fac
4473,004314473,03585,19080328,AA,,HUDD,DAMIEN,20230414,D0,73bd22c1ee1695bbb2af4244d0cb95ed
0704,003440704,03230,19320508,AA,,GREEP,ALISHA,20230414,D0,e545551720cd09dcf06dc165e861d350
8448,001648448,06014,19470613,AA,,SCHUSTER,CAMPBELL,20230414,D0,c4a2b83fd9bb15d2962c4dce5b193a4a
4702,003934702,02145,19570612,AA,,BLACKWELL,HARRIET,20230414,D1,b8800204d68d7bde10b3481335391dba
7704,006717704,06164,19630812,AA,,WITTY,LEWIS,20230414,D1,3f8e5979166aa26e89b3f5067968a761
9773,007499773,03216,19561216,AA,,DICKS,COOPER,20230414,D2,ab5154e134ee56cc6f884a07d7804d00
1550,003361550,04216,19671115,AA,,MASON,EMMA,20230414,D2,4630c1ac649b899970177366e0d2e755
1964,003421964,02748,19070602,AA,,WHITE,SHAKIRA,20230414,D0,08e6f69afecb96c8b45b260e6ae3cdc8
